"TOA5","CR3000_Estacao","CR3000","4133","CR3000.Std.10","CPU:BETANIA_sem sonico.CR3","44827","Baixa2"
"TIMESTAMP","RECORD","HMP45C_Temp_Max","HMP45C_Temp_TMx","HMP45C_RH_SMM","HMP45C_Temp_Min","HMP45C_Temp_TMn","HMP45C_RH_Max","HMP45C_RH_TMx","HMP45C_RH_Min","HMP45C_RH_TMn","RM05103_Veloc_Max","RM05103_Veloc_TMx","TB4_Tot"
"TS","RN","dec_C","dec_C","%","dec_C","dec_C","%","%","%","%","m/s","m/s","mm"
"","","Max","TMx","SMM","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Tot"
"2016-07-19 00:00:00",151,33.97968,"2016-07-18 13:20:00",45.57,23.30375,"2016-07-18 05:54:23",88.84578,"2016-07-18 05:45:23",40.64082,"2016-07-18 14:34:51",4.41,"2016-07-18 13:59:32",0
"2016-07-20 00:00:00",152,33.95986,"2016-07-19 14:25:10",46,22.44709,"2016-07-19 06:04:32",85.79469,"2016-07-19 06:45:21",43.43715,"2016-07-19 14:27:55",5.488,"2016-07-19 21:52:35",0
"2016-07-21 00:00:00",153,31.14523,"2016-07-20 16:07:29",64.91,22.11186,"2016-07-20 04:31:47",92.94691,"2016-07-20 06:35:13",56.97411,"2016-07-20 12:51:18",9.702,"2016-07-20 04:18:21",21.2
"2016-07-22 00:00:00",154,32.66822,"2016-07-21 14:08:39",57.07,24.35696,"2016-07-21 03:53:36",88.62862,"2016-07-21 05:07:14",53.5864,"2016-07-21 13:58:48",5.978,"2016-07-21 15:04:11",0.2
"2016-07-23 00:00:00",155,32.83487,"2016-07-22 14:04:24",53.77,22.39837,"2016-07-22 05:51:12",92.76647,"2016-07-22 05:55:57",52.86919,"2016-07-22 14:03:31",7.252,"2016-07-22 14:45:59",14.4
"2016-07-24 00:00:00",156,30.63783,"2016-07-23 15:34:30",63.3,22.46848,"2016-07-23 06:09:37",92.60783,"2016-07-23 06:43:25",59.56068,"2016-07-23 15:35:59",6.468,"2016-07-23 11:31:35",29.4
"2016-07-25 00:00:00",157,34.01589,"2016-07-24 14:53:51",52.8,23.83969,"2016-07-24 04:30:03",88.22857,"2016-07-24 04:35:39",46.27025,"2016-07-24 14:55:59",5.096,"2016-07-24 11:58:49",0
"2016-07-26 00:00:00",158,34.1744,"2016-07-25 13:52:59",48.16,22.85336,"2016-07-25 06:08:14",92.66024,"2016-07-25 06:01:58",39.78659,"2016-07-25 15:22:31",4.214,"2016-07-25 14:57:53",0
"2016-07-27 00:00:00",159,35.23579,"2016-07-26 14:07:15",38.65,23.08636,"2016-07-26 05:55:42",90.41154,"2016-07-26 05:29:11",35.68372,"2016-07-26 12:20:33",5.586,"2016-07-26 13:19:36",0
"2016-07-28 00:00:00",160,35.45435,"2016-07-27 12:18:33",45.69,23.76262,"2016-07-27 06:13:29",93.0818,"2016-07-27 05:19:00",36.97126,"2016-07-27 16:31:07",5.39,"2016-07-27 16:26:19",0
"2016-07-29 00:00:00",161,35.73133,"2016-07-28 13:40:55",33.27,23.07715,"2016-07-28 05:48:21",87.7886,"2016-07-28 05:11:22",28.72565,"2016-07-28 12:58:12",6.566,"2016-07-28 14:27:58",0
"2016-07-30 00:00:00",162,35.49249,"2016-07-29 13:23:22",41.28,23.08854,"2016-07-29 05:42:03",85.15011,"2016-07-29 06:43:50",31.20754,"2016-07-29 14:03:31",5.88,"2016-07-29 10:58:56",0
"2016-07-31 00:00:00",163,35.54789,"2016-07-30 13:01:09",39.76,23.56181,"2016-07-30 06:37:05",88.93479,"2016-07-30 06:35:25",32.47961,"2016-07-30 13:30:53",4.214,"2016-07-30 12:56:20",0
"2016-08-01 00:00:00",164,35.18544,"2016-07-31 13:40:33",43,22.56796,"2016-07-31 23:51:16",91.2681,"2016-07-31 23:44:57",39.16302,"2016-07-31 14:36:30",6.958,"2016-07-31 16:07:31",20.2
"2016-08-02 00:00:00",165,34.99435,"2016-08-01 14:36:32",39.96,22.82751,"2016-08-01 00:00:34",92.61275,"2016-08-01 00:30:43",35.68868,"2016-08-01 15:44:47",4.802,"2016-08-01 13:39:53",0.8
"2016-08-03 00:00:00",166,35.30318,"2016-08-02 12:52:27",40.57,23.36613,"2016-08-02 05:57:16",91.65208,"2016-08-02 06:25:01",33.45887,"2016-08-02 12:26:24",4.508,"2016-08-02 12:10:47",0
"2016-08-04 00:00:00",167,35.3233,"2016-08-03 13:33:54",34.41,23.30676,"2016-08-03 06:05:25",88.83067,"2016-08-03 06:18:56",31.88937,"2016-08-03 15:41:38",5.586,"2016-08-03 12:47:06",0
"2016-08-05 00:00:00",168,35.00309,"2016-08-04 13:55:43",47.39,24.41284,"2016-08-04 05:33:22",86.28846,"2016-08-04 05:54:20",35.51189,"2016-08-04 14:02:27",4.214,"2016-08-04 14:41:27",0
"2016-08-06 00:00:00",169,34.39501,"2016-08-05 14:47:19",46.44,21.67107,"2016-08-05 06:13:07",90.38884,"2016-08-05 06:35:16",38.59045,"2016-08-05 15:14:59",8.036,"2016-08-05 05:44:45",15.6
"2016-08-07 00:00:00",170,34.6734,"2016-08-06 13:18:06",44.7,22.65611,"2016-08-06 05:47:58",89.83011,"2016-08-06 05:27:59",44.58614,"2016-08-06 13:17:57",5.292,"2016-08-06 11:09:06",0
"2016-08-08 00:00:00",171,34.87743,"2016-08-07 13:44:27",48.83,24.31622,"2016-08-07 06:16:22",88.36626,"2016-08-07 06:39:47",42.0253,"2016-08-07 12:29:22",5.782,"2016-08-07 12:11:21",0
"2016-08-09 00:00:00",172,35.48612,"2016-08-08 13:44:05",40.68,24.96018,"2016-08-08 05:37:34",77.85916,"2016-08-08 05:35:54",35.42271,"2016-08-08 13:57:06",6.468,"2016-08-08 14:54:12",0
"2016-08-10 00:00:00",173,35.1105,"2016-08-09 14:12:00",44.5,24.77821,"2016-08-09 05:52:04",81.36772,"2016-08-09 06:05:00",39.30178,"2016-08-09 12:51:26",7.84,"2016-08-09 12:11:45",0
